=== Value In Array(Array(리터럴...), 인덱스변수) 목록 ===
  크기  2 | idx=Global Variable(IsNight)                             | [[코어 08] 공용 HUD 생성]
  크기  3 | idx=Global Variable(FundTier)                            | [[기금 01] 부흥의 불]
  크기  4 | idx=Event Player.Pick                                    | [[조작 03d] 행동 실행 — 대장간]
  크기  4 | idx=Local Player.Pick                                    | [[코어 02] BuildWorld]
  크기  4 | idx=Local Player.Pick                                    | [[코어 08] 공용 HUD 생성]
  크기  4 | idx=Subtract(Global Variable(ContractKind                | [[월드 01] 시간 흐름]
  크기  4 | idx=Subtract(Global Variable(ContractKind                | [[코어 08] 공용 HUD 생성]
  크기  5 | idx=Global Variable(RebuildFxN)                          | [[재건 01] 랜드마크 오브]
  크기  6 | idx=Event Player.PadA                                    | [[조작 03c] 행동 실행 — 안내소]
  크기  6 | idx=Event Player.PadB                                    | [[조작 03c] 행동 실행 — 안내소]
  크기  6 | idx=Event Player.PadC                                    | [[조작 03c] 행동 실행 — 안내소]
  크기  6 | idx=Event Player.Rebuild                                 | [[세이브 02] 자리 확정 (F)]
  크기  7 | idx=Event Player.Job                                     | [[코어 04] SetupPlayer]
  크기  7 | idx=Event Player.Job                                     | [[코어 15] 머리 위 이름표 갱신]
  크기  7 | idx=Event Player.JobArg                                  | [[직업 00] 일이 곧 직업 — 자동 전직]
  크기  7 | idx=Global Variable(EventKind)                           | [[조작 03b] 행동 실행 — 술집·개활지·]
  크기  7 | idx=Global Variable(TodayJob)                            | [[월드 01] 시간 흐름]
  크기  7 | idx=Global Variable(TodayJob)                            | [[코어 08] 공용 HUD 생성]
  크기  8 | idx=Global Variable(TownStage)                           | [[금고 01] 마을 금고 — 단계 달성]
  크기  8 | idx=Global Variable(TownStage)                           | [[조작 03c] 행동 실행 — 안내소]
  크기  8 | idx=Global Variable(TownStage)                           | [[조작 03e] 행동 실행 — 정거장]
  크기  8 | idx=Subtract(Global Variable(TownStage                   | [[금고 01] 마을 금고 — 단계 달성]
  크기  9 | idx=Global Variable(TownStage)                           | [[금고 01] 마을 금고 — 단계 달성]
  크기 11 | idx=Event Player.DelDest                                 | [[조작 03e] 행동 실행 — 정거장]
  크기 11 | idx=Event Player.Zone                                    | [[부동산 01] 건물 매입/인수 (웅크리기+]
  크기 11 | idx=Global Variable(Idx)                                 | [[부동산 02] 은행 회수 — 떠난 주인]
  크기 16 | idx=Add(Event Player.Zone, 1)                            | [[조작 01] 행동 커서 이동 (R)]
  크기 16 | idx=Add(Local Player.Zone, 1)                            | [[코어 08] 공용 HUD 생성]
  크기 16 | idx=Event Player.TutStep                                 | [[튜토리얼 01] DoTutorial]
  크기 18 | idx=Event Player.TutStep                                 | [[튜토리얼 01] DoTutorial]
  크기 18 | idx=Min(17, Event Player.TutStep)                        | [[튜토리얼 01] DoTutorial]
